"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Elijah Moore","NYJ","54.6","675.1","3.6","0.5","3.2","0.0","0.2","89.0"
"Randall Cobb","GB","52.1","620.8","4.3","1.4","7.5","0.0","0.5","87.6"
"Rondale Moore","ARI","50.1","623.9","3.5","4.5","33.7","0.2","0.8","86.5"
"Christian Kirk","ARI","48.1","584.4","4.0","4.9","34.3","0.0","0.4","85.5"
"A.J. Green","ARI","49.1","604.0","4.1","0.0","0.0","0.0","0.4","84.3"
"Darius Slayton","NYG","43.8","617.5","3.6","0.6","2.1","0.0","0.4","82.6"
"DeSean Jackson","LV","38.1","590.0","3.6","2.3","13.7","0.1","0.4","81.8"
"Parris Campbell","IND","47.0","572.3","3.3","4.1","25.5","0.1","0.2","79.8"
"Terrace Marshall Jr.","CAR","45.6","584.8","3.6","0.4","2.2","0.0","0.8","78.5"
"Bryan Edwards","LV","41.2","553.6","3.4","4.0","30.8","0.0","0.2","78.4"
"Amon-Ra St. Brown","DET","48.2","579.3","3.2","0.0","0.0","0.0","0.2","76.6"
"Allen Lazard","GB","37.2","506.9","3.5","1.4","10.6","0.0","0.4","72.2"
"Rashod Bateman","BAL","37.9","499.3","3.8","0.6","3.8","0.0","0.6","72.2"
"Sammy Watkins","BAL","38.9","489.5","3.6","0.8","7.2","0.0","0.4","70.4"
"Hunter Renfrow","LV","45.6","525.4","3.0","0.0","0.0","0.0","0.4","70.0"
"Marquez Valdes-Scantling","GB","28.0","483.3","3.5","2.0","11.9","0.0","0.4","69.8"
"Anthony Miller","PIT","45.6","538.4","2.5","1.8","8.3","0.1","0.5","68.7"
"Zach Pascal","IND","34.2","462.7","3.4","0.2","1.6","0.0","0.0","66.9"
"Chris Conley","HOU","38.0","505.7","2.5","0.4","3.0","0.0","0.4","65.3"
"Kendrick Bourne","NE","37.6","486.5","2.7","0.0","0.0","0.0","0.1","64.7"
"Josh Reynolds","DET","36.4","457.4","2.9","0.6","3.6","0.0","0.4","62.8"
"Jalen Guyton","LAC","30.3","472.5","2.4","2.0","8.5","0.1","0.1","62.8"
"Van Jefferson","LAR","37.2","447.9","2.9","1.1","4.6","0.0","0.1","62.8"
"Demarcus Robinson","KC","36.4","437.2","3.3","0.0","0.0","0.0","0.4","62.5"
"Nico Collins","HOU","34.6","455.9","2.7","0.0","0.0","0.0","0.1","61.5"
"KJ Hamler","DEN","33.6","411.3","2.4","9.1","50.1","0.1","0.4","60.3"
"Quintez Cephus","DET","31.6","448.3","2.5","0.0","0.0","0.0","0.1","59.4"
"Breshad Perriman","TB","28.3","434.0","2.3","0.7","4.3","0.0","0.0","57.5"
"James Washington","PIT","31.4","416.6","2.7","0.0","0.0","0.0","0.4","56.9"
"Geronimo Allison","DET","38.9","419.4","2.3","0.0","0.0","0.0","0.0","55.4"
"Deonte Harris","NO","34.8","387.7","2.1","5.5","36.0","0.1","0.1","55.0"
"Tim Patrick","DEN","29.6","389.6","2.5","0.0","0.0","0.0","0.4","53.2"
"Keelan Cole Sr.","NYJ","31.7","402.4","2.2","0.0","0.0","0.0","0.2","52.9"
"Adam Humphries","WAS","37.0","401.4","2.1","0.0","0.0","0.0","0.1","52.6"
"Cordarrelle Patterson","ATL","10.7","127.4","0.7","54.0","225.0","2.0","0.0","51.1"
"Rashard Higgins","CLE","24.3","376.5","2.4","0.0","0.0","0.0","0.4","51.0"
"Travis Fulgham","MIA","28.3","379.0","2.1","0.0","0.0","0.0","0.0","50.7"
"Danny Amendola","HOU","35.3","381.9","2.0","0.0","0.0","0.0","0.1","50.2"
"Denzel Mims","NYJ","27.6","386.6","1.8","0.2","0.6","0.0","0.0","49.5"
"Keke Coutee","IND","35.2","411.0","2.1","1.0","5.5","0.5","4.0","49.5"
"Donovan Peoples-Jones","CLE","25.2","351.2","2.2","0.0","0.0","0.0","0.1","48.4"
"D'Wayne Eskridge","SEA","26.8","332.3","2.3","1.1","6.0","0.0","0.1","47.6"
"Olamide Zaccheaus","ATL","26.0","360.7","1.9","0.4","2.1","0.0","0.1","47.5"
"Joshua Palmer","LAC","26.5","344.9","2.2","1.0","6.6","0.0","0.4","47.5"
"Damiere Byrd","CHI","30.7","368.3","1.8","0.2","1.6","0.0","0.4","47.2"
"Quez Watkins","PHI","26.0","348.7","2.1","0.0","0.0","0.0","0.1","47.1"
